name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Maruti 800 AC,2007.0,60000,70000.0,Petrol,Individual,Manual,First Owner
Maruti Wagon R LXI Minor,2007.0,135000,50000.0,Petrol,Individual,Manual,
Hyundai Verna 1.6 SX,2012.0,600000,100000.0,Diesel,Individual,Manual,First Owner
Datsun RediGO T Option,2017.0,250000,46000.0,Petrol,Individual,Manual,First Owner
Honda Amaze VX i-DTEC,2014.0,450000,141000.0,Diesel,Individual,Manual,Second Owner
Maruti Alto LX BSIII,2007.0,140000,125000.0,Petrol,Individual,Manual,First Owner
Hyundai Xcent 1.2 Kappa S,2016.0,550000,25000.0,Petrol,Individual,Manual,First Owner
Tata Indigo Grand Petrol,2014.0,240000,60000.0,Petrol,Individual,Manual,Second Owner
Hyundai Creta 1.6 VTVT S,2015.0,850000,25000.0,Petrol,Individual,Manual,First Owner
Maruti Celerio Green VXI,2017.0,365000,78000.0,CNG,Individual,Manual,First Owner
Chevrolet Sail 1.2 Base,2015.0,260000,35000.0,Petrol,Individual,Manual,First Owner
Tata Indigo Grand Petrol,2014.0,250000,100000.0,Petrol,Individual,Manual,First Owner
Toyota Corolla Altis 1.8 VL CVT,2018.0,1650000,25000.0,Petrol,Dealer,Automatic,First Owner
Maruti 800 AC,2007.0,60000,70000.0,Petrol,Individual,Manual,First Owner
Maruti Wagon R LXI Minor,2007.0,135000,50000.0,,Individual,Manual,First Owner
Hyundai Verna 1.6 SX,2012.0,600000,100000.0,Diesel,Individual,Manual,First Owner
Datsun RediGO T Option,2017.0,250000,46000.0,Petrol,Individual,Manual,First Owner
Honda Amaze VX i-DTEC,2014.0,450000,,Diesel,Individual,Manual,Second Owner
Maruti Alto LX BSIII,2007.0,140000,125000.0,Petrol,Individual,Manual,First Owner
Hyundai Xcent 1.2 Kappa S,2016.0,550000,25000.0,Petrol,,Manual,First Owner
Tata Indigo Grand Petrol,2014.0,240000,60000.0,Petrol,Individual,Manual,Second Owner
Hyundai Creta 1.6 VTVT S,2015.0,850000,25000.0,Petrol,Individual,Manual,First Owner
Maruti Celerio Green VXI,2017.0,365000,78000.0,,Individual,Manual,First Owner
Chevrolet Sail 1.2 Base,2015.0,260000,35000.0,Petrol,Individual,Manual,First Owner
Tata Indigo Grand Petrol,2014.0,250000,100000.0,Petrol,Individual,Manual,First Owner
Toyota Corolla Altis 1.8 VL CVT,2018.0,1650000,25000.0,Petrol,Dealer,Automatic,First Owner
Maruti Ciaz VXi Plus,2015.0,585000,24000.0,Petrol,Dealer,Manual,First Owner
Hyundai Venue SX Opt Diesel,2019.0,1195000,5000.0,Diesel,Dealer,Manual,First Owner
Chevrolet Enjoy TCDi LTZ 7 Seater,2013.0,390000,33000.0,Diesel,Individual,Manual,Second Owner
Jaguar XF 2.2 Litre Luxury,2014.0,1964999,28000.0,Diesel,Dealer,Automatic,First Owner
Mercedes-Benz New C-Class 220 CDI AT,2013.0,1425000,59000.0,Diesel,Dealer,Automatic,First Owner
Maruti Vitara Brezza ZDi Plus AMT,2018.0,975000,4500.0,Diesel,Dealer,Automatic,First Owner
Audi Q5 2.0 TDI,2011.0,1190000,175900.0,Diesel,Dealer,Automatic,First Owner
Honda City V MT,2018.0,930000,14500.0,Petrol,Dealer,Manual,First Owner
Tata Tigor 1.2 Revotron XT,2018.0,525000,15000.0,Petrol,Individual,Manual,First Owner
Audi A6 2.0 TDI  Design Edition,2013.0,1735000,50000.0,Diesel,Dealer,Automatic,First Owner
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012.0,1375000,33800.0,Diesel,Dealer,Automatic,Second Owner
Skoda Superb Ambition 2.0 TDI CR AT,2011.0,450000,130400.0,Diesel,Dealer,Automatic,Second Owner
Toyota Corolla Altis G AT,2016.0,900000,50000.0,Petrol,Individual,Automatic,First Owner
Toyota Innova 2.5 G (Diesel) 7 Seater,2015.0,1300000,80000.0,Diesel,Individual,Manual,First Owner
Jeep Compass 1.4 Sport Plus BSIV,2019.0,1400000,10000.0,Petrol,Individual,Manual,First Owner
Mercedes-Benz E-Class E 200 CGI Elegance,2010.0,850000,119000.0,Petrol,Dealer,Automatic,First Owner
Hyundai i10 Magna 1.1L,2014.0,229999,60000.0,Petrol,Individual,Manual,Fourth & Above Owner
BMW 3 Series 320d Sport Line,2013.0,1550000,75800.0,Diesel,Dealer,Automatic,Second Owner
Audi Q7 35 TDI Quattro Premium,2009.0,1250000,78000.0,Diesel,Dealer,Automatic,Third Owner
Hyundai Elantra CRDi S,2012.0,625000,40000.0,Diesel,Individual,Manual,First Owner
Mahindra Scorpio 1.99 S10,2014.0,1050000,50000.0,Diesel,Individual,Manual,First Owner
Honda City i DTEC V,2014.0,560000,74000.0,Diesel,Individual,Manual,Second Owner
Maruti Wagon R VXI BS IV with ABS,2014.0,290000,64000.0,Petrol,Individual,Manual,Second Owner
Maruti Wagon R VXI BS IV,2012.0,275000,60000.0,Petrol,Individual,Manual,Second Owner
Mahindra Scorpio LX,2009.0,411000,120000.0,Diesel,Individual,Manual,Second Owner
Hyundai Santro Xing GLS,2009.0,150000,79000.0,Petrol,Individual,Manual,Third Owner
Hyundai Grand i10 1.2 Kappa Asta,2019.0,500000,15000.0,Petrol,Individual,Manual,First Owner
Maruti Alto LXi,2006.0,100000,80000.0,Petrol,Individual,Manual,First Owner
Maruti Swift Dzire VDI Optional,2017.0,725000,18500.0,Diesel,Dealer,Manual,First Owner
Maruti Eeco 5 Seater AC BSIV,2018.0,401000,10200.0,Petrol,Dealer,Manual,First Owner
Hyundai i20 Sportz 1.4 CRDi,2018.0,750000,29000.0,Diesel,Dealer,Manual,First Owner
Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018.0,310000,28000.0,Petrol,Dealer,Manual,First Owner
Maruti Swift ZDi BSIV,2016.0,665000,46000.0,Diesel,Dealer,Manual,First Owner
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014.0,465000,70000.0,Diesel,,Manual,First Owner
Maruti Alto LXi,2012.0,160000,60000.0,Petrol,Individual,Manual,Second Owner
Mahindra Jeep CL 500 MDI,1996.0,250000,35000.0,Diesel,Individual,Manual,Second Owner
Honda City i DTEC VX,2014.0,675000,90000.0,Diesel,Dealer,Manual,First Owner
Maruti Wagon R VXI BS IV,2013.0,300000,80000.0,Petrol,Dealer,Manual,First Owner
Tata Indica DLS,2005.0,70000,80000.0,Diesel,Individual,Manual,First Owner
Hyundai EON Magna Plus,2014.0,240000,73300.0,Petrol,Dealer,Manual,Second Owner
Toyota Etios GD,2014.0,525000,92000.0,Diesel,Dealer,Manual,First Owner
Maruti Alto LXi,2009.0,151000,66764.0,Petrol,Dealer,Manual,Second Owner
Maruti Alto LXi,2009.0,140000,100000.0,Petrol,Individual,Manual,First Owner
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010.0,280000,350000.0,Diesel,Individual,Manual,Second Owner
Toyota Corolla Altis Diesel D4DG,2011.0,350000,,Diesel,Individual,Manual,First Owner
Mahindra Scorpio 1.99 S6 Plus,2017.0,570000,60000.0,Diesel,Individual,Manual,First Owner
Hyundai EON Magna Plus,2018.0,300000,31000.0,Petrol,Individual,Manual,
Tata Indigo Classic Dicor,2007.0,100000,39000.0,Diesel,Individual,Manual,First Owner
Toyota Innova 2.5 V Diesel 8-seater,2009.0,500000,120000.0,Diesel,Individual,Manual,Third Owner
Tata Indica Vista Quadrajet LS,2014.0,125000,166000.0,Diesel,Individual,Manual,Fourth & Above Owner
Maruti Swift 1.3 VXi,2006.0,130000,110000.0,Petrol,Individual,Manual,Third Owner
Ford EcoSport 1.5 Diesel Titanium BSIV,2017.0,925000,35000.0,Diesel,Individual,Manual,First Owner
Maruti Ciaz 1.3 Delta,2018.0,750000,60000.0,Diesel,Individual,Manual,First Owner
Honda Civic 1.8 V AT,2007.0,200000,54000.0,Petrol,Individual,Automatic,Second Owner
Hyundai i10 Sportz 1.2,2010.0,248000,63000.0,,Individual,Manual,Second Owner
Skoda Rapid 1.5 TDI Elegance,2014.0,450000,120000.0,Diesel,Individual,Manual,Second Owner
Hyundai Getz GLS,2005.0,80000,120000.0,Petrol,Individual,Manual,Third Owner
Nissan Terrano XL,2014.0,650000,76000.0,Petrol,Individual,Manual,Second Owner
Hyundai Grand i10 CRDi Sportz,2015.0,450000,80000.0,Diesel,Individual,Manual,First Owner
Hyundai Elite i20 Diesel Era,2019.0,650000,25000.0,Diesel,Individual,Manual,First Owner
Honda Amaze S i-VTEC,2016.0,495000,11958.0,Petrol,Dealer,Manual,First Owner
Honda Brio S MT,2015.0,371000,20000.0,Petrol,Dealer,Manual,First Owner
Hyundai Creta 1.6 SX Option,2017.0,1025000,9000.0,Petrol,Dealer,Manual,First Owner
